epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,3065.71,1.65597,2.47004,1.10896,1.03298,0,0.7802,0.68405,0.72862,0.58254,0.71626,0.61607,0.64985,0.40178,2.02946,1.90031,1.14383,0.99231,0,0.007228,0.007228,0.007228
30,3209.5,1.67468,2.45377,1.09022,1.0307,0,0.8332,0.67892,0.73749,0.59389,0.76774,0.61048,0.66259,0.42416,1.95947,1.89441,1.10826,0.98152,0,0.007129,0.007129,0.007129
31,3290.21,1.64993,2.5218,1.10519,1.03187,0,0.81831,0.6987,0.73995,0.59189,0.74955,0.61834,0.65735,0.41461,1.9548,1.8595,1.08111,0.96763,0,0.00703,0.00703,0.00703
32,3459.25,1.61046,2.4426,1.05518,1.02775,0,0.81311,0.6782,0.74004,0.60056,0.75204,0.60247,0.6499,0.41295,2.00204,1.90333,1.14326,0.98217,0,0.006931,0.006931,0.006931
33,3541.98,1.64087,2.47163,1.06492,1.02582,0,0.78638,0.70539,0.74491,0.60311,0.73608,0.63007,0.66535,0.42381,1.93972,1.84768,1.07627,0.97364,0,0.006832,0.006832,0.006832
34,3639.89,1.65191,2.46868,1.09121,1.02613,0,0.82321,0.67947,0.74024,0.59762,0.74139,0.6133,0.651,0.40957,1.92715,1.90301,1.09188,0.97983,0,0.006733,0.006733,0.006733
35,3713.89,1.64842,2.41811,1.06071,1.01693,0,0.81761,0.68364,0.74295,0.60053,0.72374,0.63566,0.6663,0.42546,1.93617,1.87793,1.11614,0.97211,0,0.006634,0.006634,0.006634
36,3779.22,1.6213,2.43883,1.06345,1.02991,0,0.85786,0.68889,0.74925,0.61169,0.75862,0.6213,0.65851,0.41095,1.91334,1.92763,1.07446,0.95724,0,0.006535,0.006535,0.006535
37,3922.67,1.64571,2.40731,1.06883,1.01954,0,0.8335,0.69494,0.74736,0.6088,0.77422,0.63335,0.67632,0.42712,1.91488,1.83488,1.05846,0.96048,0,0.006436,0.006436,0.006436
38,3994.71,1.60329,2.36916,1.04247,1.0192,0,0.80852,0.71099,0.74932,0.61016,0.74815,0.63541,0.66917,0.42561,1.91386,1.84091,1.04667,0.95931,0,0.006337,0.006337,0.006337
39,4063.54,1.5785,2.35821,1.02659,1.01522,0,0.82156,0.69032,0.74256,0.6042,0.75871,0.62163,0.66329,0.42871,1.92678,1.86242,1.0897,0.96859,0,0.006238,0.006238,0.006238
40,4138.07,1.61094,2.3947,1.03175,1.0133,0,0.81559,0.70705,0.75213,0.61593,0.74003,0.63726,0.67255,0.42229,1.89563,1.85669,1.04614,0.955,0,0.006139,0.006139,0.006139
